kepid,orig_score,new_score,delta,error,koi_depth,koi_period,snr_tier,true_label
11030711,0.0206304974853992,0.020630497485399246,4.5102810375396984e-17,,2378.8,205.912735,low,1
6184894,0.0003747139999177,,,search_failed: timeout,1832.6,7.20281185,low,1
7629518,0.00280965375714,,,search_failed: timeout,867.7,15.59466045,low,1
10554999,0.0097893197089433,,,search_failed: timeout,743.2,6.400157105,low,1
3939150,0.0350009128451347,,,search_failed: timeout,241.3,17.32419108,low,1
9590976,0.0031650040764361,0.003165004076436162,6.201636426617085e-17,,155.8,5.37493289,low,1
9076513,0.036734614521265,0.03673461452126503,2.7755575615628914e-17,,244.0,2.437029217,low,1
5456651,0.0846161693334579,,,search_failed: timeout,1037.3,11.76307164,low,1
6690082,0.0197181422263383,0.019718142226338387,8.673617379884035e-17,,266.1,2.1395563,low,1
3634051,0.071602813899517,0.07160281389951706,5.551115123125783e-17,,861.0,453.54212,low,1
10577994,0.0146471625193953,0.014647162519395351,5.204170427930421e-17,,723.5,8.1808949,low,1
10552611,0.0132107567042112,0.013210756704211235,3.469446951953614e-17,,327.3,7.0106324,low,1
9649706,0.001483627827838,0.0014836278278380632,6.331740687315346e-17,,147.2,1.569066598,low,1
8733898,0.0040959571488201,0.004095957148820162,6.158268339717665e-17,,2754.6,1.565412613,low,1
7765528,0.0001585958380019,0.00015859583800192922,2.9219248548484344e-17,,836.7,7.03932913,low,1
8367644,0.0041413553990423,0.004141355399042368,6.765421556309548e-17,,3157.4,22.08551599,low,1
6693640,0.0710202753543853,0.07102027535438538,6.938893903907228e-17,,316.4,13.71938426,low,1
10724369,0.0077571594156324,0.007757159415632486,8.673617379884035e-17,,853.0,55.6391882,low,1
5438099,0.0440819971263408,0.044081997126340866,6.938893903907228e-17,,864.9,7.24022418,low,1
