kepid,orig_score,det_score,delta,koi_depth,koi_period,snr_tier,true_label,error
2987027,0.4113511145114898,0.09587832540273666,-0.31547278910875315,10458.0,17.276296682,high,1,
10748390,0.304676204919815,0.31255558133125305,0.007879376411438044,4315.8,4.887803076,high,1,
6046540,0.0641477927565574,0.0014972976641729474,-0.06265049509238445,8510.5,7.340714946,high,1,
5972334,0.2806500494480133,0.3418217599391937,0.06117171049118042,14638.1,15.358767771,high,1,
8711794,0.0238423589617013,0.163829043507576,0.13998668454587468,1059.3,8.981014925,mid,1,
5796675,0.0020744770299643,0.12620733678340912,0.12413285975344482,3076.0,16.080657264,mid,1,
11401755,0.0003924381453543,0.05789458379149437,0.05750214564614007,501.6,16.23191704,mid,1,
5088536,0.0097151491791009,0.014957964420318604,0.005242815241217703,639.2,27.50871575,mid,1,
11904151,0.0192829072475433,0.018124790862202644,-0.001158116385340656,190.4,0.837491225,mid,1,
5866724,9.547262015985324e-05,0.0001530028966953978,5.753027653554456e-05,322.8,5.859935955,mid,1,
4914423,0.2680219411849975,0.006456960923969746,-0.26156498026102776,1273.0,179.609803,mid,1,
8565266,0.1001328080892562,0.1076563149690628,0.007523506879806602,1156.4,6.412512953,mid,1,
5437945,0.0087474342435598,0.0023459037765860558,-0.006401530466973743,2579.0,440.7843755,mid,1,
8478994,0.008834121748805,0.3307719826698303,0.32193786092102533,610.4,39.79220077,mid,1,
5084942,0.1740785241127014,0.20754796266555786,0.03346943855285647,904.6,3.105507835,mid,1,
5735762,0.0954285413026809,0.10952195525169373,0.014093413949012826,952.7,9.673958488,mid,1,
7434875,0.0063493219204247,0.25612080097198486,0.24977147905156016,3036.1,9.439459486,mid,1,
8022489,0.0176559630781412,0.012828784063458443,-0.004827179014682756,2575.6,197.5111484,mid,1,
11517719,3.226239719822388e-09,7.416424696593538e-10,-2.4845972501630342e-09,25070.0,2.495780169,mid,1,
6786037,0.0323558412492275,0.06599672883749008,0.03364088758826258,4020.6,127.905412,mid,1,
3217264,0.3365200161933899,0.3733343482017517,0.036814332008361816,2047.2,29.19899219,mid,1,
11518142,0.0049634976312518,0.006449962966144085,0.001486465334892285,5022.9,240.7990472,mid,1,
11250587,0.0484536290168762,0.05009501054883003,0.0016413815319538325,463.2,7.256962446,mid,1,
6196457,0.0005284395883791,0.0018699284410104156,0.0013414888526313154,425.9,13.74883059,mid,1,
8026752,0.0392670035362243,0.0996001586318016,0.0603331550955773,1321.9,4.286866229,mid,1,
9579641,0.005864368751645,0.008450140245258808,0.0025857714936138084,601.6,5.412203927,mid,1,
9820483,0.0436522364616394,0.2911634147167206,0.24751117825508118,2608.1,3.584101048,mid,1,
5164255,0.0071945032104849,0.0037542330101132393,-0.0034402702003716607,15337.0,15.37562369,mid,1,
6678383,0.1438007056713104,0.13993246853351593,-0.003868237137794467,500.9,11.427550984,mid,1,
10925104,0.2307821810245514,0.2551063001155853,0.024324119091033936,1430.8,11.776132317,mid,1,
8678594,0.0378585867583751,0.019217463210225105,-0.018641123548149993,5032.9,133.460999,mid,1,
10910878,0.1709019392728805,0.1401454359292984,-0.030756503343582098,4914.3,16.06864674,mid,1,
11122894,0.2321766763925552,0.13106706738471985,-0.10110960900783536,4119.2,74.92768653,mid,1,
9450647,0.0002940600388683,0.0008057019440457225,0.0005116419051774226,520.2,9.940666412,mid,1,
6191521,0.0188215654343366,0.028707535937428474,0.009885970503091875,3604.6,80.8723469,mid,1,
9702072,0.0266647282987833,0.1841559261083603,0.157491197809577,847.4,4.182001885,mid,1,
11017901,4.581268876791e-05,4.975034244125709e-05,3.9376536733470925e-06,3387.4,7.794302043,mid,1,
7135852,0.0650333911180496,0.07864321768283844,0.013609826564788846,2260.0,4.220965778,mid,1,
6508221,0.2235714048147201,0.12816889584064484,-0.09540250897407526,1596.9,18.20795835,mid,1,
7366258,0.0743515491485595,0.31203973293304443,0.23768818378448492,3644.3,51.53997972,mid,1,
9663113,0.0728227272629737,0.058291807770729065,-0.014530919492244637,1023.3,20.74028645,mid,1,
5780460,0.3689938187599182,0.17380733788013458,-0.19518648087978363,4634.9,35.61760233,mid,1,
8866102,0.0630853772163391,0.12064539641141891,0.05756001919507982,326.9,17.83367834,mid,1,
9157634,0.0382654331624507,0.0819520503282547,0.043686617165804,905.5,2.104721971,mid,1,
8689031,0.2367143034934997,0.36453545093536377,0.12782114744186407,1144.9,21.80451611,low,1,
6587002,0.1120024770498275,0.12948590517044067,0.017483428120613168,820.4,47.4277116,low,1,
7755636,0.0001941572409123,0.00017267688235733658,-2.1480358554963407e-05,377.5,16.00496657,low,1,
8826168,0.0017240395536646,0.0024500309955328703,0.0007259914418682703,402.8,11.55103848,low,1,
11100383,0.0138635961338877,0.22557950019836426,0.21171590406447655,959.0,12.92489803,low,1,
