kepid,kepoi_name,koi_disposition,koi_period,koi_depth
6863998,K00867.01,CONFIRMED,16.08518937,1442.4
6948054,K00869.01,CONFIRMED,7.49018305,1123.6
6948054,K00869.02,CONFIRMED,36.2761238,1572.6
6948054,K00869.03,CONFIRMED,17.46087931,812.4
6435936,K00854.01,CONFIRMED,56.0560754,1626.0
6522242,K00855.01,CONFIRMED,41.408316686,22838.9
6587280,K00857.01,CONFIRMED,5.715425977,908.1
9471974,K00119.01,CONFIRMED,49.18394185,1646.2
6587280,K00857.02,CONFIRMED,20.0261412,421.2
6685526,K00861.01,CONFIRMED,2.237489571,315.8
6784235,K00863.01,CONFIRMED,3.167893418,781.2
6849310,K00864.01,CONFIRMED,4.311780262,1154.0
6849310,K00864.02,CONFIRMED,20.0504494,840.9
6849310,K00864.03,CONFIRMED,9.76734503,569.1
9471974,K00119.02,CONFIRMED,190.3200468,1141.7
7366258,K00880.01,CONFIRMED,26.44439337,1843.5
7366258,K00880.02,CONFIRMED,51.53997972,3644.3
7366258,K00880.03,CONFIRMED,5.902245782,702.3
7366258,K00880.04,CONFIRMED,2.382951591,391.6
7373451,K00881.01,CONFIRMED,21.02250608,1772.5
6948054,K00869.04,CONFIRMED,3.219814777,488.2
6949607,K00870.01,CONFIRMED,5.912273234,961.4
6949607,K00870.02,CONFIRMED,8.98581901,881.3
7109675,K00872.01,CONFIRMED,33.60123371,7425.9
7109675,K00872.02,CONFIRMED,6.76652928,450.7
7118364,K00873.01,CONFIRMED,4.347288783,451.6
7134976,K00874.01,CONFIRMED,4.601811819,755.9
7134976,K00874.02,CONFIRMED,11.18719905,353.6
7135852,K00875.01,CONFIRMED,4.220965778,2260.0
7287995,K00877.01,CONFIRMED,5.95489993,1410.7
7287995,K00877.02,CONFIRMED,12.03987488,1250.6
7287995,K00877.03,CONFIRMED,20.83762895,439.0
7303253,K00878.01,CONFIRMED,23.58917143,1200.7
5094751,K00123.01,CONFIRMED,6.481633073,298.5
